Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About,Year,Month
02/01/23, 1:26:16,4100 W Commerce St,78207,Other Calls,Disturbance,2330,CENTRAL,SAPD-2023-0151242,29.429678,-98.544002,1675279576000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 1:28:29,1501-1999 N Loop 1604 W Wb,78232,Traffic Calls,Traffic Related,3170,NORTH,SAPD-2023-0151248,29.608658,-98.517744,1675279709000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,23,2
02/01/23, 1:24:48,1100 BERLIN AVE,78211,Other Calls,Miscellaneous,6120,SOUTH,SAPD-2023-0151237,29.368937,-98.536294,1675279488000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 1:26:51,1200 Logwood Ave,78221,Crimes Against Person Calls,Assault In Progress,6150,SOUTH,SAPD-2023-0151246,29.344513,-98.523111,1675279611000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,23,2
02/01/23, 1:26:23,LADY BIRD JOHNSON PARK,78217,Other Calls,Patrol By,3360,NORTH,SAPD-2023-0151241,29.537117,-98.424208,1675279583000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 1:30:04,1200 Logwood Ave,78221,Other Calls,Assist the Public,6150,SOUTH,SAPD-2023-0151250,29.344513,-98.523111,1675279804000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 1:30:49,S Ww White Rd / Se Loop 410,78222,Other Calls,Animal Related,4260,EAST,SAPD-2023-0151252,29.354527,-98.400937,1675279849000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 1:30:53,9100 Chinon,78250,Traffic Calls,Traffic Violation,7360,PRUE,SAPD-2023-0151253,29.522963,-98.677627,1675279853000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,23,2
02/01/23, 1:30:36,Se Loop 410 / S Ww White Rd,78222,Other Calls,Animal Related,4260,EAST,SAPD-2023-0151251,29.354527,-98.400937,1675279836000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 5:08:15,7300 N Loop 1604 E,78154,Property Crime Calls,Theft,3260,NORTH,SAPD-2023-0151965,29.582549,-98.342453,1675292895000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link,23,2
02/01/23, 1:31:28,100 San Pablo Place,78237,Traffic Calls,Abandoned Vehicle,5130,WEST,SAPD-2023-0151256,29.433672,-98.557591,1675279888000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,23,2
02/01/23, 5:08:58,300 Labor St,78210,Other Calls,Suspicious Person,2110,CENTRAL,SAPD-2023-0151969,29.413552,-98.483126,1675292938000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 1:31:22,700 W Mayfield Blvd,78211,Property Crime Calls,Theft,6130,SOUTH,SAPD-2023-0151255,29.362151,-98.535356,1675279882000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link,23,2
02/01/23, 5:09:50,200 Sunnyland,78228,Other Calls,Miscellaneous,5260,WEST,SAPD-2023-0151974,29.473876,-98.574198,1675292990000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 1:32:28,400 Scotty Dr,78227,Crimes Against Person Calls,Suspicious Vehicle,5340,WEST,SAPD-2023-0151260,29.400891,-98.658045,1675279948000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,23,2
02/01/23, 5:09:01,9300 Collier Flats,78023,Traffic Calls,Traffic Violation,7350,PRUE,SAPD-2023-0151970,29.576544,-98.666003,1675292941000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,23,2
02/01/23, 1:31:39,3500 Northeast Pkwy,78218,Traffic Calls,Minor Accident,4350,EAST,SAPD-2023-0151257,29.493345,-98.429415,1675279899000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,23,2
02/01/23, 5:08:23,400 N Frio St,78207,Other Calls,Disturbance,2310,CENTRAL,SAPD-2023-0151964,29.429044,-98.50325,1675292903000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,23,2
02/01/23, 5:09:24,17101-17399 Wurzbach Pkwy Wb,78217,Traffic Calls,Major Accident,3210,NORTH,SAPD-2023-0151971,29.545897,-98.431508,1675292964000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,23,2
