Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About,Year,Month
08/01/24, 8:29:09,Broadway / E Hildebrand Ave,78209,Traffic Calls,Traffic Related,1230,DOWNTOWN,SAPD-2024-1062235,29.465754,-98.463692,1722518949000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,8
08/01/24, 8:28:00,W MARKET ST / S ST MARY'S ST,78205,Other Calls,Patrol By,1110,DOWNTOWN,SAPD-2024-1062230,29.423972,-98.491656,1722518880000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,8
08/01/24, 8:28:21,3700 BLK SW MILITARY DR,78211,Traffic Calls,Traffic Related,6320,SOUTH,SAPD-2024-1062232,29.358618,-98.562718,1722518901000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,8
08/01/24, 8:29:45,13000 Jones Maltsberger Rd,78247,Traffic Calls,Minor Accident,3220,NORTH,SAPD-2024-1062239,29.559728,-98.459693,1722518985000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,8
08/01/24, 8:28:34,10087-11041 S ZARZAMORA ST,78224,Traffic Calls,Traffic Related,6160,SOUTH,SAPD-2024-1062233,29.307806,-98.535005,1722518914000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,24,8
08/01/24, 8:30:52,1700 Sw Military Dr,78221,Other Calls,Suspicious Person,6230,SOUTH,SAPD-2024-1062243,29.356653,-98.520011,1722519052000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,8
08/01/24, 8:33:46,700 W Mayfield Blvd,78211,Other Calls,Miscellaneous,6130,SOUTH,SAPD-2024-1062285,29.362151,-98.535356,1722519226000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,8
08/01/24, 8:30:20,2000 N Flores St,78212,Other Calls,Disturbance Neighbor,1220,DOWNTOWN,SAPD-2024-1062240,29.446786,-98.504001,1722519020000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,8
08/01/24, 8:31:20,400 E Commerce St,78205,Other Calls,Disturbance,1110,DOWNTOWN,SAPD-2024-1062244,29.423786,-98.488481,1722519080000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,8
08/01/24, 8:30:28,7300 GRISSOM RD,78251,Other Calls,Patrol By,7330,PRUE,SAPD-2024-1062241,29.482347,-98.6331,1722519028000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,8
08/01/24, 8:35:23,200 E North Loop Rd,78216,Other Calls,Disturbance,3120,NORTH,SAPD-2024-1062260,29.555346,-98.491284,1722519323000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,24,8
