Date,Time,Address,Zipcode,Category,ProblemType,PatrolDistrict,Substation,IncidentNumber,LAT,LON,ResponseDate,URL,Color,About,Year,Month
05/01/25, 3:07:11,6400 Peace Pipe Dr,78238,Crimes Against Person Calls,Suspicious Vehicle,5270,WEST,SAPD-2025-0603645,29.468157,-98.612514,1746130031000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,25,5
05/01/25, 4:36:53,500 N St Mary's St,,Other Calls,Drunk,1130,DOWNTOWN,SAPD-2025-0601405,29.428889,-98.491111,1746092213000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 9:50:52,300 DARTMOUTH ST,78237,Other Calls,Patrol By,2360,CENTRAL,SAPD-2025-0602172,29.436276,-98.552217,1746111052000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 3:07:54,11800 Perrin Beitel,78217,Other Calls,Disturbance,3210,NORTH,SAPD-2025-0603646,29.547785,-98.410392,1746130074000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 9:53:11,Martin Luther King Dr / Upland Dr,78220,Traffic Calls,Traffic Violation,4230,EAST,SAPD-2025-0602185,29.413467,-98.412171,1746111191000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,5
05/01/25, 4:37:17,200 MERIDA ST,78207,Other Calls,Patrol By,2340,CENTRAL,SAPD-2025-0601406,29.408236,-98.520119,1746092237000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 3:07:03,100 Cumberland Blvd,78204,Other Calls,Disturbance,2340,CENTRAL,SAPD-2025-0603644,29.400082,-98.51246,1746130023000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 9:51:15,I0 35 N NB,78218,Traffic Calls,Traffic Related,4340,EAST,SAPD-2025-0602173,29.487888,-98.402256,1746111075000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,5
05/01/25, 9:55:21,1700 Blanco Rd,78212,Traffic Calls,Traffic Related,2210,CENTRAL,SAPD-2025-0602196,29.461678,-98.507881,1746111321000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,5
05/01/25, 4:38:15,200 W NUEVA,78207,Other Calls,Patrol By,NOT SAPD BEX,SAPD OUTSIDE AREA,SAPD-2025-0601409,29.423003,-98.496575,1746092295000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 3:07:47,2300 Hackamore Ln,78227,Other Calls,Visitation Violation,5170,WEST,SAPD-2025-0603648,29.408935,-98.639549,1746130067000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 9:57:20,14800 Vance Jackson Rd,78249,Other Calls,Welfare Check,7230,PRUE,SAPD-2025-0602206,29.582119,-98.5887,1746111440000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 4:38:59,Ih 35 N / N Walters St,78208,Traffic Calls,Minor Accident,4130,EAST,SAPD-2025-0601411,29.438736,-98.450514,1746092339000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,5
05/01/25, 3:06:16,406-498 CLAY ST,78204,Other Calls,Patrol By,1140,DOWNTOWN,SAPD-2025-0603641,29.406785,-98.495991,1746129976000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 9:53:55,4900 W Commerce St,78237,Other Calls,Property Found,5110,WEST,SAPD-2025-0602190,29.431167,-98.558392,1746111235000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 4:41:10,S Ww White Rd / Roland Ave,78222,Traffic Calls,Officer Traffic Stop,4250,EAST,SAPD-2025-0601413,29.375456,-98.40453,1746092470000,http://www.sanantonio.gov/sapd/Calls.aspx,Yellow,a tbd link,25,5
05/01/25, 3:06:35,800 N CHERRY ST,78202,Other Calls,Patrol By,1130,DOWNTOWN,SAPD-2025-0603643,29.430628,-98.476804,1746129995000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 9:51:56,3100 HIAWATHA,78210,Other Calls,Patrol By,4210,EAST,SAPD-2025-0602178,29.384037,-98.437081,1746111116000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 3:08:56,Ih 10 W Nb / De Zavala Rd,78230,Property Crime Calls,Panhandler,7230,PRUE,SAPD-2025-0603650,29.563237,-98.590941,1746130136000,http://www.sanantonio.gov/sapd/Calls.aspx,Green,a tbd link,25,5
05/01/25, 9:54:35,1300 Bayou Dr,78245,Other Calls,Disturbance,5330,WEST,SAPD-2025-0602192,29.421663,-98.674876,1746111275000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 4:43:15,Donaldson Ave / Fredericksburg Rd,78201,Other Calls,Welfare Check,5230,WEST,SAPD-2025-0601415,29.462453,-98.523934,1746092595000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 3:17:17,6200 S New Braunfels Ave,78223,Other Calls,Miscellaneous,6240,SOUTH,SAPD-2025-0603745,29.363991,-98.455472,1746130637000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 9:53:39,12500 Ih 10 E,78109,Other Calls,Assist the Public,4310,EAST,SAPD-2025-0602186,29.483481,-98.236208,1746111219000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 4:43:12,60 NE LOOP 410,78216-5801,Other Calls,Suspicious Person,3320,NORTH,SAPD-2025-0601414,29.519285,-98.489315,1746092592000,http://www.sanantonio.gov/sapd/Calls.aspx,Blue,a tbd link,25,5
05/01/25, 3:08:47,3500 Roosevelt Ave,78214,Crimes Against Person Calls,Lewd Conduct,6260,SOUTH,SAPD-2025-0603654,29.354963,-98.480756,1746130127000,http://www.sanantonio.gov/sapd/Calls.aspx,Red,a tbd link,25,5
